,ACC,BLCA,BRCA,CESC,CHOL,COAD,DLBC,ESCA,GBM,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,PAAD,PCPG,PRAD,READ,SARC,SKCM,STAD,TGCT,THCA,THYM,UCEC,UCS,UVM
ACC,0.0,0.7556990385055542,1.2704740762710571,1.1063474416732788,1.130606770515442,1.2238849401474,1.0674904584884644,0.7399799823760986,1.0037946701049805,1.0116174221038818,0.49985218048095703,0.7156549096107483,1.0191516876220703,0.6647714972496033,0.8575142621994019,0.8756589889526367,1.0959988832473755,0.9846817851066589,0.5431106686592102,1.1675100326538086,0.4852975010871887,0.8841593861579895,0.9599363803863525,0.7352486848831177,1.0943912267684937,1.2620214223861694,0.8283692002296448,0.666179358959198,1.082794427871704,1.4494705200195312,1.5632489919662476,0.7755790948867798
BLCA,0.7556990385055542,0.0,1.1852158308029175,0.6317279934883118,1.4136699438095093,1.2842512130737305,0.7736034989356995,0.7089123725891113,0.8241335153579712,0.7708502411842346,1.0613481998443604,1.074201226234436,1.4236369132995605,1.020106554031372,0.8504312038421631,1.285607933998108,1.0159927606582642,0.8400832414627075,0.597771167755127,0.8808595538139343,0.8086521029472351,0.6920257210731506,1.0130579471588135,0.8426792025566101,1.3430436849594116,0.9540950655937195,0.7541263103485107,1.2483083009719849,0.7774695754051208,0.8176757097244263,0.9605334401130676,1.1458953619003296
BRCA,1.2704740762710571,1.1852158308029175,0.0,0.6228867173194885,1.1500517129898071,0.8944411277770996,0.7803793549537659,0.7868310213088989,1.3406425714492798,0.6829653382301331,1.0704591274261475,1.070198893547058,1.0202521085739136,0.8864985108375549,1.2135508060455322,1.205661416053772,0.7524541020393372,0.8821033239364624,0.7185769081115723,1.038707971572876,1.1627960205078125,0.7019408941268921,0.9817357063293457,0.6912012696266174,0.5793291926383972,0.7550828456878662,1.1356698274612427,1.1070117950439453,0.8061580061912537,0.8417781591415405,0.6750317811965942,0.6846359372138977
CESC,1.1063474416732788,0.6317279934883118,0.6228867173194885,0.0,1.474600076675415,0.8898725509643555,0.9183964729309082,0.5940855741500854,1.0157898664474487,0.5725418329238892,1.1692448854446411,0.8296087384223938,1.1663817167282104,0.8713123798370361,0.9146668910980225,1.3934435844421387,1.073390245437622,1.100603461265564,0.5841287970542908,1.174457311630249,1.1843830347061157,0.6818435192108154,0.6806638240814209,0.7454173564910889,0.9915684461593628,0.7390224933624268,1.1816766262054443,1.4577991962432861,1.0679270029067993,0.6697183847427368,0.6267003417015076,0.9354084134101868
CHOL,1.130606770515442,1.4136699438095093,1.1500517129898071,1.474600076675415,0.0,0.9335502982139587,1.3206185102462769,1.681910753250122,0.9563043713569641,1.724467158317566,1.1007646322250366,0.8029804825782776,0.6040962338447571,1.352637529373169,1.038382887840271,0.4766714870929718,0.9631937146186829,1.361046314239502,1.3342468738555908,0.8137969970703125,0.8938091993331909,1.2172515392303467,1.0432878732681274,1.1649624109268188,0.8839944005012512,1.3271690607070923,1.1362521648406982,0.91826331615448,1.1907660961151123,0.8745858073234558,1.0512945652008057,1.0616458654403687
COAD,1.2238849401474,1.2842512130737305,0.8944411277770996,0.8898725509643555,0.9335502982139587,0.0,0.7582710981369019,1.0704283714294434,0.9571905136108398,1.0244014263153076,1.3181871175765991,0.8696686029434204,0.8058041334152222,0.9577078223228455,0.8062942624092102,1.006430745124817,0.9463944435119629,1.4159973859786987,1.160722017288208,0.5625389814376831,0.8557888269424438,0.9902462959289551,0.23308593034744263,1.3549950122833252,0.6189064979553223,0.6737155914306641,1.1508046388626099,0.6449058055877686,1.139080286026001,0.8333572149276733,1.1974515914916992,0.7853065133094788
DLBC,1.0674904584884644,0.7736034989356995,0.7803793549537659,0.9183964729309082,1.3206185102462769,0.7582710981369019,0.0,0.887477695941925,0.582331657409668,0.5701220631599426,1.3924472332000732,1.3288922309875488,1.2816975116729736,0.814590573310852,0.7235841751098633,1.3255555629730225,0.653948962688446,0.7854360342025757,0.7014020681381226,0.6810542345046997,0.8250478506088257,1.0722064971923828,0.828885555267334,0.9320233464241028,0.6083148717880249,0.6428462862968445,0.9600867629051208,0.7523653507232666,0.6990570425987244,0.9691015481948853,1.0645835399627686,1.0854942798614502
ESCA,0.7399799823760986,0.7089123725891113,0.7868310213088989,0.5940855741500854,1.681910753250122,1.0704283714294434,0.887477695941925,0.0,1.2266746759414673,0.4734213650226593,0.8583414554595947,1.2709879875183105,1.336620569229126,0.5979699492454529,1.0339068174362183,1.2135154008865356,0.9968818426132202,0.5675099492073059,0.8429567217826843,1.0952060222625732,1.2264701128005981,0.7457413077354431,1.0539889335632324,0.7966617345809937,1.0296909809112549,0.5353045463562012,0.8497920632362366,0.9278376698493958,0.9436638951301575,1.301378846168518,0.928918182849884,0.8137434720993042
GBM,1.0037946701049805,0.8241335153579712,1.3406425714492798,1.0157898664474487,0.9563043713569641,0.9571905136108398,0.582331657409668,1.2266746759414673,0.0,0.8340528011322021,1.166699767112732,0.8526411652565002,0.846727192401886,0.8746275305747986,0.45404914021492004,1.0478429794311523,1.015688419342041,1.0108699798583984,0.8867031931877136,1.0943610668182373,0.9147732257843018,1.499114751815796,0.9150545001029968,0.9169541597366333,0.8558076024055481,1.034828543663025,1.0590816736221313,1.0130984783172607,1.0205092430114746,0.8405319452285767,0.8998321294784546,1.400861144065857
HNSC,1.0116174221038818,0.7708502411842346,0.6829653382301331,0.5725418329238892,1.724467158317566,1.0244014263153076,0.5701220631599426,0.4734213650226593,0.8340528011322021,0.0,0.9699192643165588,1.0659873485565186,1.18499755859375,0.5041865706443787,0.9844560623168945,1.4511659145355225,0.6959407329559326,0.5480217337608337,0.6274843215942383,1.243985652923584,1.2185320854187012,0.931332528591156,0.9604896306991577,0.8876191973686218,1.0157471895217896,0.7038372755050659,1.203330397605896,0.9944908618927002,0.8109009265899658,1.1158771514892578,0.8642496466636658,1.1575812101364136
KICH,0.49985218048095703,1.0613481998443604,1.0704591274261475,1.1692448854446411,1.1007646322250366,1.3181871175765991,1.3924472332000732,0.8583414554595947,1.166699767112732,0.9699192643165588,0.0,0.6594651937484741,0.5630685687065125,0.6839303374290466,0.805198073387146,1.0884145498275757,1.3747446537017822,0.8409771919250488,0.8389888405799866,1.4455021619796753,0.7349063754081726,0.8957382440567017,1.2706178426742554,0.6542781591415405,1.0653060674667358,1.4454165697097778,0.6359128355979919,0.7154276371002197,0.6036195755004883,1.0750242471694946,1.1136889457702637,0.5117236375808716
KIRC,0.7156549096107483,1.074201226234436,1.070198893547058,0.8296087384223938,0.8029804825782776,0.8696686029434204,1.3288922309875488,1.2709879875183105,0.8526411652565002,1.0659873485565186,0.6594651937484741,0.0,0.47253596782684326,0.8422980308532715,0.9316356778144836,0.9435757398605347,1.0804387331008911,1.50633704662323,0.5590939521789551,1.3142139911651611,0.6419664025306702,1.0076876878738403,0.5580358505249023,0.9260373115539551,1.088415265083313,1.5273064374923706,1.3372849225997925,1.129731297492981,1.2027852535247803,0.7786339521408081,1.1699022054672241,1.0038425922393799
KIRP,1.0191516876220703,1.4236369132995605,1.0202521085739136,1.1663817167282104,0.6040962338447571,0.8058041334152222,1.2816975116729736,1.336620569229126,0.846727192401886,1.18499755859375,0.5630685687065125,0.47253596782684326,0.0,0.7296243906021118,0.765873372554779,0.9076070189476013,1.2215853929519653,1.2256543636322021,1.090539813041687,1.2139712572097778,0.9469013810157776,1.3406561613082886,0.9121513962745667,0.9017956852912903,0.7463043928146362,1.2977885007858276,1.0602362155914307,0.7992947101593018,0.8748636841773987,0.7906911969184875,0.9006802439689636,0.8217927813529968
LAML,0.6647714972496033,1.020106554031372,0.8864985108375549,0.8713123798370361,1.352637529373169,0.9577078223228455,0.814590573310852,0.5979699492454529,0.8746275305747986,0.5041865706443787,0.6839303374290466,0.8422980308532715,0.7296243906021118,0.0,0.9672221541404724,1.176620602607727,0.8355123996734619,0.6441270709037781,0.7565729022026062,1.2001237869262695,1.2211464643478394,1.367219090461731,1.0096018314361572,0.8000510334968567,0.8288738131523132,0.758363664150238,1.1889491081237793,0.6548539400100708,0.8463081121444702,1.3633430004119873,1.0039077997207642,1.0696139335632324
LGG,0.8575142621994019,0.8504312038421631,1.2135508060455322,0.9146668910980225,1.038382887840271,0.8062942624092102,0.7235841751098633,1.0339068174362183,0.45404914021492004,0.9844560623168945,0.805198073387146,0.9316356778144836,0.765873372554779,0.9672221541404724,0.0,1.276592493057251,1.4695916175842285,1.133497953414917,0.9344533681869507,1.071998953819275,0.6768567562103271,1.075669765472412,0.8300774693489075,0.7496230006217957,0.6776494383811951,1.055004596710205,0.6236507892608643,0.743730366230011,0.7003636956214905,0.6715744137763977,0.9633370041847229,0.6355149745941162
