,Bcell_pred,CD4T_pred,CD8T_pred,Mono_pred,NK_pred,Neu_pred,Bcell_true,CD4T_true,CD8T_true,Mono_true,NK_true,Neu_true
GSM2333902_9376538120_R06C01,0.055038445,0.15132728,0.09041393,0.10268485,0.06537855,0.5876169,0.03612864,0.1809738,0.06526261,0.11412417,0.07452383,0.56828547
GSM2333905_9370847096_R06C02,0.06614494,0.13607708,0.086827986,0.110776596,0.06854828,0.58168733,0.05665611,0.17668815,0.06554852,0.113435335,0.059898145,0.5764507
GSM2333914_7766148058_R01C01,0.038332056,0.06911926,0.1391172,0.08340462,0.14103357,0.56793404,0.043328505,0.083059706,0.13222641,0.10527589,0.13152055,0.54801786
GSM2333915_7766148025_R03C02,0.040599436,0.08731594,0.05988531,0.089825526,0.075684525,0.6840376,0.03390826,0.0888324,0.07239593,0.09258637,0.0903133,0.6769743
GSM2333921_7766148058_R03C01,0.07907429,0.1524058,0.17623337,0.08295513,0.058188327,0.51962125,0.08200347,0.20180474,0.14950493,0.0640595,0.054223426,0.52713126
GSM2333922_7766148025_R06C02,0.08979933,0.10975512,0.10624145,0.12036171,0.12851474,0.5140974,0.10988841,0.10319457,0.08583769,0.15280056,0.13876686,0.48684964
GSM2333928_9370847081_R06C02,0.054109886,0.10111945,0.14095359,0.105447635,0.1261842,0.5350006,0.047345206,0.10706909,0.14664538,0.10413554,0.12882891,0.5313616
GSM2333933_9370847011_R04C01,0.056803994,0.03965464,0.25147676,0.08381142,0.18241836,0.44278556,0.068666615,0.0,0.33216155,0.0859946,0.14131951,0.44567052
GSM2333935_7766148114_R02C01,0.021856807,0.10559393,0.094636545,0.08507337,0.14464633,0.5703906,0.028054135,0.12571062,0.069418125,0.105361424,0.16455178,0.5518169
GSM2333936_9370847063_R04C02,0.06039551,0.089522064,0.12765346,0.1111393,0.11572096,0.54867387,0.077160224,0.09923186,0.111451864,0.1130457,0.11187081,0.54445696
GSM2333941_7766148114_R04C01,0.06053648,0.11532115,0.07447126,0.094647214,0.07398069,0.6214154,0.07372103,0.120918065,0.079617016,0.08437888,0.056084037,0.63392335
GSM2333948_7766148026_R02C01,0.075057656,0.15953964,0.11295303,0.094897926,0.058268994,0.5768588,0.06592409,0.17910828,0.09775385,0.08680609,0.06080101,0.59020376
GSM2333953_7766148026_R01C02,0.04685723,0.12613215,0.08357413,0.11873277,0.07042697,0.6081243,0.039011575,0.15180786,0.07810951,0.10367589,0.06666938,0.61465436
GSM2333959_7766148077_R01C02,0.09832832,0.20094723,0.14237143,0.10004132,0.05904947,0.4665143,0.08837926,0.21241207,0.15155281,0.100183986,0.04033877,0.47214183
GSM2333963_7766148116_R01C01,0.099311695,0.19707307,0.16486599,0.081922166,0.099667855,0.42015946,0.123595275,0.20232888,0.1320998,0.06841859,0.12936729,0.4191536
GSM2333965_7766148116_R02C01,0.081938624,0.17297399,0.12680274,0.098759875,0.046369188,0.5473266,0.07873706,0.16526236,0.13217522,0.10957099,0.044755176,0.53560543
GSM2333972_9370847125_R04C01,0.03449767,0.07667087,0.08675865,0.11659313,0.041978702,0.67493874,0.03110887,0.085427284,0.08539862,0.12954628,0.0364202,0.66021216
GSM2333981_9370847011_R03C02,0.05989876,0.08804363,0.12572657,0.11374335,0.063486315,0.6086644,0.05817668,0.10562533,0.10371119,0.13147774,0.071572036,0.60248214
GSM2333986_7766148112_R01C02,0.08086671,0.14307022,0.11634934,0.09786171,0.060552977,0.558841,0.10128267,0.110365495,0.14019006,0.0784667,0.05485106,0.5623759
GSM2333988_7766148112_R02C02,0.06565437,0.11483114,0.14253294,0.107281245,0.06304322,0.5549849,0.060639996,0.13493967,0.11820061,0.10965975,0.07343321,0.54467106
GSM2333992_7766148030_R02C02,0.054149915,0.12221509,0.1287253,0.09683348,0.0879368,0.5691649,0.041535895,0.1004863,0.18455702,0.110254675,0.061035994,0.55968714
GSM2333996_7766148030_R04C02,0.07804918,0.18255842,0.11047988,0.09844685,0.07648635,0.51377594,0.05851882,0.19318202,0.10889698,0.11465948,0.07269351,0.51090854
GSM2333999_9370847011_R01C02,0.11118391,0.13766171,0.11348918,0.10936448,0.056592196,0.53223604,0.16070822,0.10338473,0.09844959,0.10214505,0.07196407,0.54922694
